"certified","forum.posts","grade","assignment"
"yes",4,6,12
"yes",61,3,9
"yes",136,5,14
"no",178,3,12
"no",118,3,14
"yes",61,4,15
"yes",118,3,5
"yes",18,3,1
"yes",1,3,17
"yes",143,4,5
"yes",175,7,5
"yes",159,2,9
"yes",148,3,16
"yes",206,7,11
"yes",81,4,12
"yes",151,3,8
"yes",17,7,10
"no",148,4,12
"yes",102,3,15
"yes",31,4,11
"yes",127,4,5
"no",140,3,9
"yes",1,3,17
"yes",130,7,13
"yes",91,2,16
"yes",120,3,10
"yes",36,3,6
"yes",68,7,14
"yes",81,2,13
"yes",128,4,16
"no",139,3,17
"no",130,5,15
"yes",139,5,15
"yes",157,5,16
"no",4,4,13
"yes",82,5,3
"yes",80,3,12
"yes",1,2,10
"yes",118,5,2
"yes",15,4,6
"yes",140,2,9
"no",22,2,1
"yes",2,4,15
"no",195,4,16
"yes",118,2,3
"yes",175,5,15
"no",1,3,6
"yes",87,2,13
"yes",148,6,10
"yes",73,3,12
"yes",120,2,11
"yes",17,5,13
"yes",158,5,13
"yes",61,2,2
"yes",1,4,14
"yes",93,7,9
"yes",143,5,13
"yes",2,3,14
"no",9,4,14
"no",121,4,6
"yes",1,4,16
"no",120,4,2
"yes",121,4,9
"yes",178,4,9
"yes",1,3,16
"yes",139,2,14
"no",114,2,13
"yes",31,5,13
"yes",36,6,9
"yes",140,5,13
"no",8,2,16
"no",71,3,16
"yes",112,4,13
"yes",59,5,12
"yes",121,6,16
"yes",206,3,15
"yes",1,4,9
"yes",2,5,11
"yes",51,7,13
"yes",78,5,16
"yes",112,3,6
"yes",157,5,5
"no",91,4,15
"yes",120,5,11
"yes",112,3,16
"no",140,5,11
"yes",120,4,5
"yes",1,3,15
"yes",105,2,16
"yes",168,7,17
"no",1,4,16
"no",78,2,5
"no",80,5,16
"yes",4,4,13
"yes",168,5,12
"yes",1,3,16
"yes",8,4,3
"yes",177,4,13
"yes",118,3,16
"yes",100,4,1
"yes",27,4,15
"yes",15,5,18
"yes",80,2,13
"yes",100,5,10
"yes",18,2,13
"no",37,4,9
"yes",2,2,16
"yes",1,5,1
"yes",61,4,1
"yes",52,6,5
"yes",100,7,17
"yes",139,3,11
"yes",136,5,14
"yes",8,2,16
"yes",1,2,16
"yes",1,5,12
"no",112,5,6
"yes",131,2,14
"yes",127,5,14
"yes",2,3,16
"no",97,2,16
"yes",118,7,1
"no",42,5,16
"yes",51,6,15
"yes",139,5,16
"yes",8,4,3
"yes",131,4,16
"yes",27,4,12
"no",120,5,12
"yes",195,4,13
"yes",18,3,16
"yes",136,3,16
"no",195,5,15
"yes",114,3,10
"yes",1,5,9
"yes",158,3,14
"yes",1,4,13
"yes",81,5,13
"yes",22,10,15
"no",17,10,15
"yes",15,2,13
"yes",120,10,16
"yes",61,3,17
"yes",2,2,11
"no",15,6,8
"yes",1,4,14
"no",157,2,15
"yes",35,2,10
"no",113,4,13
"yes",105,3,6
"no",158,3,16
"no",157,10,16
"yes",71,3,14
"yes",2,5,15
"yes",9,6,15
"yes",114,5,17
"yes",128,2,16
"yes",178,5,16
"yes",97,2,18
"yes",121,4,16
"no",157,5,3
"yes",2,3,6
"yes",8,2,5
"yes",1,4,16
"no",100,5,14
"no",113,3,8
"yes",195,10,13
"yes",120,3,9
"no",36,3,14
"no",139,4,11
"yes",120,3,14
"yes",102,4,16
"no",105,4,13
"no",128,3,14
"yes",9,2,13
"yes",91,3,16
"yes",175,4,2
"no",20,4,15
"no",8,5,15
"yes",96,3,8
"yes",18,6,16
"yes",159,4,14
"yes",125,5,1
"no",72,4,16
"yes",93,2,5
"no",20,4,13
"yes",80,2,13
"yes",120,3,12
"yes",195,10,1
"yes",96,4,16
"yes",26,3,16
"yes",73,4,16
"yes",112,7,16
"yes",130,2,5
"yes",1,5,14
"yes",128,5,1
"yes",59,6,16
"no",4,4,13
"yes",72,3,13
"yes",1,4,2
"no",136,2,16
"yes",36,3,16
"yes",82,4,10
"yes",1,5,13
"no",87,5,14
"yes",72,3,13
"yes",26,5,5
"yes",9,2,15
"no",118,5,10
"yes",158,5,16
"yes",96,3,6
"yes",17,3,12
"yes",59,5,6
"no",71,2,2
"yes",139,4,16
"no",1,3,12
"yes",131,3,16
"yes",1,3,13
"yes",61,3,3
"yes",9,5,13
"no",121,5,13
"yes",136,3,8
"yes",130,4,13
"yes",1,5,13
"yes",140,6,15
"yes",61,3,17
"yes",1,3,13
"yes",72,3,17
"yes",61,3,11
"yes",18,2,13
"yes",112,4,2
"yes",36,3,6
"yes",80,5,13
"yes",20,4,16
"no",177,3,9
"yes",27,5,10
"no",96,6,13
"yes",131,5,12
"yes",72,3,16
"yes",61,4,3
"yes",9,4,1
"yes",139,5,5
"no",140,2,8
"yes",22,6,8
"yes",148,2,16
"yes",11,5,13
"no",139,4,16
"yes",17,2,6
"yes",112,2,10
"yes",26,5,15
"no",8,4,12
"yes",4,3,9
"yes",195,2,13
"yes",2,5,2
"yes",68,4,15
"yes",177,3,15
"yes",157,5,13
"yes",42,5,15
"yes",159,4,16
"yes",130,7,16
"yes",113,4,16
"no",80,3,14
"yes",68,2,9
"yes",97,5,15
"yes",73,3,14
"no",168,5,16
"yes",9,5,16
"yes",178,3,17
"yes",68,4,15
"yes",131,6,16
"yes",1,6,16
"yes",82,7,11
"yes",9,4,9
"yes",78,10,5
"yes",125,3,12
"no",206,4,13
"yes",26,3,16
"yes",37,5,16
"yes",118,5,10
"yes",96,4,17
"yes",15,3,3
"yes",42,6,13
"yes",68,3,2
"yes",206,3,9
"yes",1,6,13
"yes",73,3,16
"yes",1,5,15
"yes",130,5,15
"no",93,3,9
"yes",80,2,13
"yes",42,2,13
"yes",100,2,1
"yes",82,5,11
"yes",120,2,16
"yes",17,5,13
"yes",114,3,18
"no",118,4,17
"yes",71,2,12
"no",131,6,16
"yes",26,4,13
"yes",51,4,10
"yes",61,5,9
"yes",59,6,13
"yes",139,4,3
"yes",159,2,15
"yes",15,5,9
"yes",168,4,13
"yes",15,2,1
"yes",22,4,16
"yes",206,5,16
"yes",130,2,5
"yes",4,3,11
"no",148,4,16
"yes",27,5,11
"no",17,4,9
"yes",121,4,10
"yes",81,3,10
"yes",121,3,13
"yes",139,4,16
"yes",140,4,6
"no",15,5,12
"yes",8,2,16
"yes",100,3,15
"yes",175,4,12
"yes",27,3,5
"no",35,4,5
"yes",148,3,13
"yes",9,5,16
"yes",52,3,1
"yes",26,2,16
"yes",2,4,3
"no",96,3,16
"yes",96,5,16
"no",9,3,16
"yes",61,4,15
"yes",97,4,10
"yes",42,5,14
"yes",100,4,9
"yes",1,5,16
"yes",157,4,13
"yes",140,5,14
"yes",139,4,12
"yes",73,2,11
"no",177,4,13
"yes",26,5,9
"yes",31,4,16
"no",68,3,14
"yes",125,5,9
"yes",52,3,16
"yes",27,4,3
"yes",121,3,12
"yes",2,3,16
"yes",17,4,17
"no",114,5,11
"no",178,3,16
"yes",96,5,18
"yes",82,3,13
"no",2,3,10
"yes",97,4,13
"yes",105,3,15
"yes",78,9,12
"yes",1,5,13
"yes",73,3,16
"yes",26,3,6
"yes",59,4,16
"yes",131,6,14
"yes",168,2,3
"yes",80,5,13
"no",1,3,15
"no",159,6,5
"no",102,4,16
"no",93,2,11
"no",51,5,12
"yes",151,4,13
"yes",59,5,12
"no",168,5,16
"no",139,2,12
"no",131,5,18
"yes",9,6,8
"yes",4,2,13
"yes",1,7,9
"yes",8,2,3
"yes",131,4,15
"yes",31,4,15
"yes",2,3,16
"yes",131,3,15
"yes",31,3,8
"no",151,4,13
"yes",158,3,16
"yes",159,2,14
"yes",9,2,16
"yes",72,6,16
"yes",195,3,16
"yes",4,5,15
"no",72,4,1
"yes",100,3,6
"yes",97,5,11
"no",114,2,16
"yes",140,5,14
"no",112,9,1
"yes",52,5,1
"yes",2,3,1
"yes",121,2,1
"yes",105,3,16
"no",17,2,16
"yes",73,3,8
"yes",35,5,14
"no",100,5,13
"yes",158,6,12
"no",113,3,3
"yes",87,5,15
"no",158,2,16
"yes",158,4,13
"yes",140,7,10
"yes",120,2,3
"yes",97,3,9
"yes",118,4,16
"yes",8,3,16
"yes",143,4,11
"yes",18,5,13
"no",11,2,5
"yes",31,5,2
"yes",4,4,14
"no",82,2,18
"yes",68,2,17
"no",8,3,8
"yes",17,2,13
"yes",136,2,6
"no",8,2,10
"no",27,4,11
"yes",4,2,15
"yes",1,4,9
"yes",91,2,8
"yes",2,4,16
"yes",61,2,6
"yes",52,3,16
"yes",168,3,16
"yes",17,5,9
"yes",96,4,6
"yes",42,2,16
"yes",128,4,16
"yes",114,7,16
"yes",59,7,13
"yes",105,7,15
"yes",2,4,10
"yes",15,6,13
"no",105,3,16
"yes",18,3,16
"no",17,2,8
"yes",125,2,16
"yes",87,4,16
"yes",139,3,6
"yes",158,2,14
"yes",118,5,6
"yes",195,4,9
"no",139,6,13
"yes",140,3,6
"yes",26,7,15
"no",121,3,9
"yes",112,2,16
"yes",15,2,14
"yes",2,4,14
"no",80,3,16
"no",35,3,15
"no",139,2,16
"yes",11,5,13
"yes",52,4,18
"yes",1,5,14
"yes",72,2,14
"no",82,5,11
"yes",22,6,16
"no",42,2,16
"yes",158,2,3
"yes",178,5,6
"yes",206,5,16
"yes",151,6,1
"no",206,5,9
"yes",139,5,14
"yes",87,7,16
"yes",15,5,3
"yes",26,2,16
"yes",118,2,15
"yes",136,3,15
"yes",20,4,1
"yes",52,7,16
"yes",71,4,15
"yes",118,3,13
"no",151,4,13
"yes",131,5,12
"yes",118,3,9
"yes",52,6,9
"no",195,7,14
"yes",105,5,3
"no",96,2,8
"yes",158,6,16
"yes",113,2,13
"yes",26,4,9
"no",71,4,14
"yes",136,9,16
"no",114,2,12
"yes",168,5,16
"yes",22,5,13
"yes",130,2,13
"no",71,5,10
"yes",118,7,16
"yes",175,3,18
"yes",9,2,10
"yes",148,2,3
"yes",71,5,1
"yes",72,2,17
"yes",37,9,6
"yes",52,2,2
"yes",93,5,13
"yes",113,2,2
"yes",68,5,14
"yes",206,7,12
"yes",31,4,10
"yes",159,7,10
"no",20,2,16
"no",37,9,1
"yes",61,4,13
"yes",128,5,13
"no",127,3,15
"yes",139,5,16
"yes",130,2,15
"yes",1,4,13
"yes",73,3,13
"no",96,2,14
"yes",73,6,13
"yes",100,7,3
"yes",81,3,14
"yes",1,2,15
"yes",113,3,16
"yes",140,4,16
"yes",120,3,15
"yes",1,10,12
"yes",1,3,2
"yes",80,3,1
"yes",96,3,16
"yes",121,4,8
"yes",159,3,16
"yes",27,3,14
"yes",52,4,15
"yes",178,5,15
"yes",4,5,13
"yes",37,5,15
"yes",120,3,6
"yes",102,4,5
"yes",80,4,16
"no",136,5,16
"no",78,10,16
"yes",113,3,16
"yes",18,5,16
"yes",120,5,1
"no",178,5,14
"yes",8,6,13
"yes",18,4,13
"yes",87,4,15
"no",114,3,3
"yes",26,3,14
"yes",18,5,1
"yes",177,2,15
"no",1,4,17
"yes",113,4,10
"yes",2,7,12
"yes",22,3,6
"yes",118,3,3
"yes",1,9,16
"yes",73,5,6
"yes",96,5,12
"no",31,3,9
"yes",96,4,13
"yes",136,4,9
"yes",120,5,16
"yes",140,2,15
"yes",136,2,16
"yes",130,5,12
"yes",118,4,12
"yes",93,5,16
"yes",112,3,16
"no",93,7,11
"yes",177,7,13
"yes",18,5,5
"no",140,2,14
"yes",4,5,16
"yes",120,3,15
"yes",1,2,14
"no",61,2,10
"yes",120,6,17
"yes",1,5,1
"yes",8,5,14
"yes",157,2,12
"yes",175,5,15
"yes",20,3,16
"yes",2,3,11
"yes",42,3,15
"yes",35,5,10
"yes",52,5,13
"yes",15,3,8
"no",114,2,5
"yes",27,9,12
"yes",87,4,16
"yes",52,10,16
"yes",1,6,1
"yes",158,5,16
"no",120,9,15
"yes",71,2,9
"yes",9,5,16
"yes",151,3,16
"yes",93,5,16
"yes",51,7,17
"yes",136,3,6
"yes",140,7,8
"yes",2,2,13
"yes",112,3,11
"yes",17,4,5
"yes",105,3,16
"no",158,3,8
"no",18,2,6
"yes",139,5,10
"yes",36,4,12
"yes",113,6,14
"yes",22,5,14
"yes",100,2,6
"no",27,4,12
"yes",100,3,10
"yes",1,3,12
"yes",143,5,1
"yes",102,2,1
"yes",158,5,14
"yes",127,7,6
"yes",140,5,8
"yes",96,4,3
"yes",31,3,16
"yes",93,3,14
"yes",91,4,9
"yes",42,3,15
"yes",120,2,13
"yes",20,4,14
"yes",61,6,1
"no",139,3,12
"yes",82,4,17
"yes",125,2,13
"no",91,2,6
"yes",1,5,1
"yes",114,2,15
"yes",2,2,13
"yes",131,2,16
"yes",195,4,11
"yes",2,4,11
"yes",8,2,1
"no",2,3,14
"yes",61,5,18
"yes",105,7,1
"yes",139,3,1
"no",159,3,12
"yes",178,4,17
"yes",78,3,3
"yes",105,6,16
"yes",20,4,17
"yes",131,2,16
"yes",114,3,16
"no",11,5,2
"no",35,5,14
"yes",158,5,13
"yes",15,7,16
"yes",26,2,13
"no",20,7,16
"no",91,3,2
"yes",61,4,6
"yes",121,5,14
"yes",1,4,9
"no",71,3,9
"yes",93,5,16
"no",51,5,9
"yes",118,5,9
"yes",168,7,1
"yes",151,4,5
"yes",130,5,12
"yes",96,10,8
"yes",61,7,10
"no",18,3,2
"yes",97,3,9
"no",15,3,12
"yes",125,3,15
"yes",130,4,8
"no",127,5,13
"yes",35,3,14
"no",128,3,16
"yes",78,10,3
"yes",1,5,14
"no",27,3,15
"no",131,3,1
"yes",8,2,16
"yes",125,2,13
"yes",139,2,13
"yes",178,3,2
"yes",42,7,1
"no",22,5,3
"no",97,5,13
"no",1,4,10
"no",136,2,17
"yes",8,3,18
"yes",15,7,16
"no",97,4,2
"yes",11,5,15
"no",52,7,13
"yes",82,3,16
"yes",175,3,13
"yes",1,4,16
"no",177,5,1
"yes",35,4,16
"yes",42,4,16
"yes",68,4,5
"yes",175,3,16
"no",61,5,9
"yes",36,5,1
"yes",36,5,5
"yes",136,9,13
"yes",177,6,16
"yes",125,4,14
"yes",9,7,16
"yes",157,4,10
"yes",4,3,16
"yes",2,5,9
"no",140,3,16
"yes",72,2,3
"yes",148,5,16
"yes",31,4,3
"yes",26,3,10
"no",143,3,13
"yes",81,3,12
"yes",72,5,14
"yes",140,4,3
"yes",131,3,15
"yes",125,5,16
"yes",72,4,13
"yes",1,5,17
"yes",97,5,16
"yes",178,3,1
"yes",36,4,2
"yes",18,3,13
"yes",159,6,10
"yes",9,3,12
"no",120,5,15
"yes",42,4,16
"yes",73,4,16
"yes",9,5,1
"yes",158,3,1
"no",140,2,15
"no",131,2,15
"no",125,2,16
"yes",157,5,16
"no",139,7,1
"yes",2,4,16
"yes",20,2,3
"yes",136,9,5
"yes",71,4,14
"yes",51,3,16
"yes",91,3,15
"yes",114,5,9
"yes",2,5,11
"yes",78,7,2
"no",1,5,11
"yes",168,3,6
"yes",52,4,13
"yes",15,2,1
"yes",148,5,16
"yes",139,3,14
"yes",130,3,13
"no",31,2,13
"yes",113,3,13
"yes",178,10,14
"yes",177,2,8
"no",37,2,16
"no",26,5,17
"yes",59,4,15
"yes",4,10,2
"yes",100,4,16
"yes",118,3,15
"yes",42,3,6
"yes",31,4,1
"yes",68,2,13
"no",96,4,14
"yes",148,10,15
"yes",37,7,5
"yes",131,3,13
"yes",4,3,14
"yes",11,9,12
"yes",130,5,16
"no",52,5,8
"yes",140,5,13
"yes",71,3,1
"yes",81,3,15
"yes",206,5,6
"yes",130,3,9
"yes",11,4,16
"yes",18,5,1
"yes",158,3,8
"yes",31,4,17
"yes",93,3,9
"no",1,7,12
"yes",68,2,18
"yes",157,4,14
"no",177,3,9
"yes",195,4,16
"no",68,5,8
"yes",131,3,15
"yes",22,7,11
"no",100,7,17
"yes",128,4,11
"yes",82,4,16
"yes",120,4,16
"yes",36,4,13
"no",136,4,18
"no",87,4,1
"yes",128,3,17
"no",177,3,13
"yes",96,2,8
"no",37,9,13
"yes",120,5,9
"no",72,4,13
"yes",140,2,17
"yes",51,2,5
"yes",18,7,13
"yes",130,3,1
"yes",112,4,10
"yes",113,5,13
"yes",96,4,12
"yes",151,3,6
"yes",22,7,12
"yes",112,5,13
"yes",22,2,13
"yes",139,7,16
"yes",61,3,16
"yes",80,3,9
"yes",105,4,16
"yes",206,6,13
"yes",128,3,15
"yes",140,5,16
"yes",8,4,5
"yes",4,5,5
"yes",42,2,13
"yes",15,3,16
"yes",112,5,12
"yes",125,9,8
"yes",175,3,12
"yes",22,3,16
"yes",61,2,3
"yes",2,2,9
"no",15,6,5
"no",4,5,11
"no",206,3,12
"yes",52,5,16
"yes",96,3,15
"yes",121,3,15
"yes",80,2,13
"yes",178,3,16
"no",87,4,15
"yes",59,9,13
"yes",128,9,15
"yes",96,4,14
"no",120,4,6
"yes",1,2,9
"yes",206,4,15
"yes",42,5,16
"yes",1,6,13
"no",139,4,15
"yes",26,3,15
"yes",159,3,13
"yes",159,7,17
"yes",37,2,13
"yes",1,2,16
"no",112,3,13
"no",37,4,13
"yes",112,4,1
"yes",112,7,10
"yes",61,3,1
"yes",80,2,5
"yes",195,6,12
"yes",1,4,16
"yes",112,2,16
"yes",59,3,2
"yes",78,3,13
"no",120,4,12
"yes",80,5,16
"yes",59,5,15
"yes",139,2,14
"yes",91,3,3
"yes",93,3,5
"yes",159,3,11
"yes",93,4,15
"yes",15,4,13
"yes",121,5,13
"yes",121,3,16
"yes",206,7,17
"no",206,3,8
"yes",151,5,6
"yes",131,4,11
"yes",35,4,16
"yes",8,6,9
"yes",1,3,12
"no",177,2,13
"yes",157,5,15
"yes",72,5,10
"yes",136,3,13
"no",143,3,8
"yes",139,3,12
"yes",4,5,9
"no",68,3,15
"yes",78,3,9
"yes",128,4,16
"yes",51,3,16
"yes",143,2,3
"yes",128,3,14
"yes",140,6,3
"yes",151,6,16
"yes",143,3,1
"yes",120,3,18
"yes",148,5,12
"yes",72,2,1
"yes",18,3,10
"yes",158,3,13
"yes",121,9,13
"yes",168,2,13
"yes",37,3,15
"no",15,2,16
"yes",121,4,6
"yes",112,5,13
"yes",102,2,5
"yes",61,2,15
"yes",118,5,11
"no",113,3,15
"no",15,7,16
"yes",42,7,16
"yes",2,5,17
"yes",59,3,16
"yes",9,2,6
"yes",131,2,17
"no",82,2,16
"yes",128,2,16
"yes",105,7,1
"no",93,3,10
"yes",11,3,14
"no",118,3,12
"yes",91,3,14
"yes",140,3,9
"yes",20,3,16
"yes",1,6,16
"yes",158,4,5
"no",148,5,16
"yes",82,4,6
"no",139,3,10
"yes",52,3,5
"yes",1,5,8
"yes",42,3,16
"yes",1,4,15
"yes",61,7,15
"no",81,3,9
"yes",91,4,13
"yes",130,2,12
"yes",11,3,13
"yes",8,9,16
"yes",68,5,15
"yes",36,5,10
"yes",61,5,13
"yes",148,3,15
"yes",136,4,16
"yes",130,2,16
"yes",15,7,14
"yes",112,2,15
"yes",136,4,8
"yes",168,4,13
"yes",206,5,13
"yes",20,7,1
"yes",27,3,11
"yes",1,4,6
"yes",140,3,6
"yes",121,4,5
"no",178,2,12
"yes",131,3,8
"yes",140,4,10
"yes",36,5,16
"yes",36,7,17
"yes",9,2,8
"no",120,5,16
"no",102,3,16
"yes",15,5,12
"yes",80,3,14
"yes",130,5,17
"yes",159,2,11
"yes",61,4,15
"yes",71,5,10
"yes",9,4,14
"yes",105,3,16
"no",22,9,14
"yes",2,4,13
"yes",148,3,16
"yes",42,4,16
"yes",59,4,13
"yes",1,9,15
"yes",195,4,3
"yes",130,3,15
"yes",140,4,5
"yes",4,2,17
"yes",178,5,16
"yes",35,3,3
"yes",159,5,15
"yes",18,9,15
"yes",121,3,1
"yes",178,5,5
"yes",36,4,13
"yes",148,4,12
"yes",130,3,13
"no",1,4,13
"yes",1,4,6
"yes",37,3,3
"yes",118,3,13
"no",26,4,17
"yes",100,5,13
"yes",128,3,13
"yes",72,2,13
"no",1,3,10
"yes",93,5,5
"yes",1,3,8
"yes",105,3,10
"no",78,2,17
"yes",15,6,16
"yes",158,5,6
"yes",1,4,16
"yes",128,3,16
"yes",120,4,13
"yes",130,3,11
"no",143,2,14
"no",36,3,15
"yes",114,3,6
"yes",139,7,8
"yes",72,5,17
"yes",206,4,18
"no",22,2,13
"yes",112,6,1
"yes",91,5,8
"no",112,4,6
"yes",68,7,11
"yes",178,2,13
"yes",27,4,1
"yes",118,3,11
"yes",82,10,11
"yes",35,2,16
"yes",26,4,16
"yes",78,5,6
"no",1,4,8
"yes",97,3,12
"yes",159,4,12
"no",18,3,14
"yes",37,3,5
"yes",27,3,15
"yes",118,2,13
"yes",125,5,5
"no",31,3,1
"yes",130,3,13
"yes",125,10,18
"yes",97,4,13
"yes",112,3,9
"yes",195,5,14
"yes",18,5,13
"yes",26,3,9
"yes",136,5,15
"yes",17,5,10
"yes",18,5,6
"yes",125,5,5
"yes",17,3,15
"yes",1,4,16
"yes",59,4,16
"no",2,4,16
"yes",17,4,12
"no",82,5,12
"yes",18,4,16
"yes",1,3,16
"yes",2,3,5
"yes",82,2,10
"yes",18,4,10
"yes",121,6,15
"no",128,10,16
"no",125,3,17
"no",15,3,2
"yes",195,5,15
"yes",128,3,16
"yes",18,5,16
"yes",139,5,16
"yes",81,3,6
"yes",71,3,15
"yes",1,2,13
"yes",15,3,15
"yes",177,7,15
"yes",136,4,14
"no",131,5,3
"yes",158,3,16
"yes",206,4,16
"no",8,4,13
"yes",159,2,13
"yes",35,4,16
"yes",140,3,13
"no",2,2,13
"yes",4,5,16
"yes",157,3,17
"no",143,2,13
"no",51,2,1
"yes",175,4,13
"yes",9,3,3
"no",158,3,1
"yes",11,3,6
"yes",118,3,14
"yes",27,5,5
"yes",130,3,11
"yes",139,7,5
"no",15,7,13
"no",151,2,13
"yes",131,5,13
"no",143,3,13
"no",130,4,5
"yes",112,3,11
"no",178,2,17
"yes",81,5,17
"no",2,5,12
"yes",36,6,17
"yes",82,3,10
"yes",148,4,3
"yes",82,5,13
"no",31,4,16
"yes",97,3,11
"yes",68,3,13
"no",118,5,10
"yes",2,5,12
"yes",140,7,16
"yes",151,2,10
"yes",136,4,14
"yes",17,3,1
"yes",80,4,16
"no",120,3,13
"yes",9,5,16
"yes",157,2,17
"yes",206,3,1
"yes",125,2,5
"no",35,5,14
"yes",20,2,8
"no",2,4,14
"no",2,5,12
"yes",26,5,12
"yes",37,3,18
"yes",151,3,3
"yes",80,2,13
"yes",158,3,16
"yes",102,6,12
"yes",157,2,9
"no",136,3,14
"yes",139,5,15
"yes",61,4,16
"yes",1,4,16
"yes",158,3,16
"yes",82,5,1
"yes",52,2,16
"yes",42,5,1
"yes",128,4,16
"yes",1,7,14
"yes",102,3,13
"yes",27,9,16
"no",36,5,17
"yes",175,4,16
"no",2,2,13
"yes",131,5,1
"yes",143,5,5
"yes",71,5,16
"yes",15,7,1
"yes",1,3,16
"yes",131,4,10
"no",97,5,8
"yes",127,4,15
"yes",52,2,5
"yes",131,3,6
"no",52,2,10
"no",140,3,16
"no",27,4,14
"yes",15,4,13
"yes",61,4,14
"yes",1,3,16
"yes",17,3,13
"yes",127,3,15
"yes",26,5,13
"yes",195,6,16
"yes",1,3,16
"yes",195,5,13
"yes",1,5,12
"yes",72,4,13
"yes",1,6,6
"yes",82,4,12
"yes",20,5,6
"yes",2,3,16
"yes",80,4,14
"no",36,3,13
"yes",42,3,1
"no",102,2,18
"no",175,3,11
"yes",136,3,1
"yes",61,4,15
"yes",151,3,1
"yes",158,4,13
"yes",1,5,16
"yes",35,5,16
"yes",195,6,16
"yes",140,6,15
"yes",159,4,12
"yes",143,5,16
"yes",22,3,3
"yes",81,5,13
"no",143,4,16
"yes",26,3,1
"yes",68,3,16
"yes",81,4,13
"no",1,5,14
"no",140,2,9
"yes",143,4,15
"yes",112,5,13
"yes",1,5,16
"yes",87,2,13
"yes",140,4,1
"yes",15,6,2
"yes",131,3,14
"yes",87,4,13
"yes",82,2,8
"no",81,2,16
"yes",100,7,9
"yes",22,5,18
"yes",168,3,16
"yes",31,3,14
"no",31,2,9
"yes",31,5,11
"yes",59,4,15
"no",136,5,18
"yes",131,5,8
"yes",11,6,17
"yes",125,2,5
"yes",128,4,10
"yes",72,3,13
"yes",143,2,5
"yes",1,4,14
"yes",118,4,2
"no",59,4,3
"yes",158,4,17
"yes",131,4,15
"yes",158,3,16
"yes",128,4,16
"yes",2,3,12
"yes",35,4,12
"no",175,5,16
"yes",72,7,16
"yes",158,4,2
"yes",195,3,13
"yes",42,3,10
"yes",31,4,16
"yes",121,4,9
"yes",175,3,6
"yes",175,5,16
"yes",114,5,16
"yes",121,3,6
"yes",87,3,13
"yes",68,5,5
"yes",36,4,15
"yes",81,4,13
"yes",178,5,13
"yes",31,3,16
"yes",195,3,17
"no",42,9,16
"no",139,3,14
"no",27,4,9
"no",118,3,5
"yes",93,3,11
"yes",131,7,13
"no",59,2,6
"yes",82,4,14
"yes",130,7,16
"yes",159,5,17
"yes",112,5,15
"yes",1,3,15
"yes",71,2,5
"yes",42,5,12
"yes",159,3,13
"yes",73,3,9
"yes",175,7,2
"yes",15,2,17
"no",151,5,17
"yes",130,2,1
"yes",15,4,3
"yes",206,4,16
"yes",130,4,16
"yes",206,2,13
"no",100,7,2
"no",143,2,12
"no",127,4,16
"yes",2,4,17
"yes",105,7,6
"no",158,4,16
"no",140,4,15
"yes",87,5,16
"yes",206,3,16
"yes",17,4,12
"yes",15,3,15
"no",61,3,16
"yes",97,3,16
"no",112,2,17
"yes",51,3,9
"no",71,3,16
"yes",136,5,2
"yes",195,4,14
"yes",73,5,11
"yes",93,3,15
"no",114,9,6
"no",159,4,16
"yes",1,3,14
"yes",102,2,3
"yes",105,3,13
"yes",112,5,9
"yes",11,3,12
"yes",112,3,14
"yes",9,5,16
"yes",8,5,16
"yes",102,4,1
"yes",195,7,17
"yes",168,5,8
"yes",61,6,12
"yes",148,4,13
"yes",37,2,13
"no",37,5,13
"no",121,7,10
"yes",139,5,13
"yes",37,4,16
"yes",120,4,13
"no",1,5,9
"yes",42,6,14
"no",59,2,1
"no",168,2,14
"yes",87,2,16
"no",206,5,16
"yes",159,4,16
"no",26,2,17
"no",37,2,16
"yes",140,2,16
"no",120,4,16
"yes",11,5,16
"yes",206,2,5
"yes",73,5,10
"yes",2,6,12
"no",140,7,14
"yes",102,3,13
"yes",97,3,10
"yes",18,5,13
"yes",157,3,16
"yes",2,3,5
"yes",121,2,9
"yes",81,7,2
"yes",114,2,1
"yes",27,3,9
"yes",35,4,3
"yes",2,7,16
"yes",61,4,3
"yes",118,2,2
"yes",105,4,17
"yes",1,3,16
"yes",195,2,17
"yes",100,3,8
"yes",120,3,11
"no",112,5,11
"yes",121,2,12
"yes",120,5,13
"yes",120,3,13
"no",1,7,6
"yes",82,6,13
"yes",1,3,1
"yes",148,3,16
"no",37,2,12
"yes",118,5,13
"no",1,5,16
"yes",113,4,3
"no",151,6,12
"yes",130,6,11
"yes",130,5,13
"yes",37,7,10
"yes",2,4,10
"yes",91,2,10
"yes",2,7,12
"no",20,7,16
"yes",91,3,1
"yes",127,4,13
"yes",22,3,5
"yes",80,4,8
"yes",139,5,9
"yes",178,2,15
"yes",61,4,16
"yes",81,4,11
"yes",105,3,16
"yes",139,5,5
"yes",178,3,12
"no",18,9,12
"no",1,3,15
"yes",61,2,10
"yes",195,5,17
"yes",151,2,13
"yes",91,5,10
"yes",113,2,16
"yes",136,3,8
"yes",130,4,16
"yes",9,5,16
"yes",128,5,2
"no",120,5,1
"yes",35,4,16
"no",140,4,1
"yes",81,10,1
"yes",120,3,3
"yes",143,3,12
"yes",26,3,16
"no",11,4,13
"yes",87,5,10
"yes",128,5,13
"yes",87,6,16
"yes",36,5,15
"yes",140,6,5
"no",68,4,13
